人格,配置類型,基金代碼,基金名稱,基金描述
口袋柴,核心配置,97978047,PGIM保德信貨幣市場基金,"優質基金標的，提供穩健的投資選擇。"
口袋柴,核心配置,C0109004,PGIM美國公司債基金-T美元累積型,"優質基金標的，提供穩健的投資選擇。"
口袋柴,核心配置,92017204,元大得利貨幣市場基金,"優質基金標的，提供穩健的投資選擇。"
口袋柴,衛星配置,98639616,PGIM保德信美國投資級企業債券基金-累積型(台幣)(本基金有一定比重得投資於非投資等級之高風險債券且基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋柴,衛星配置,98641524,華南永昌全球投資等級債券基金A不配息(台幣)(本基金配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋柴,衛星配置,C0054057,法盛盧米斯賽勒斯投資等級債券基金R/A USD,"優質基金標的，提供穩健的投資選擇。"
口袋柴,ETF,00713,元大台灣高息低波,"精選ETF標的，追蹤指數表現。"
口袋阿金,核心配置,98638122,PGIM保德信多元收益組合基金-月配息型(台幣)(本基金配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋阿金,核心配置,98642423,中國信託策略優利多重資產基金-B分配型(台幣)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金且基金並無保證收益及配息),"優質基金標的，提供穩健的投資選擇。"
口袋阿金,核心配置,98641177,PGIM保德信全球生態友善ESG多重資產基金-月配息型(台幣)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋阿金,衛星配置,98638532,元大亞太優質高股息100指數基金B配息(台幣)(基金之收益分配由經理公司得依收益之情況自行決定當季配息型受益權單位配息與否及分配之金額，故每季分配之金額並非一定相同且並無保證收益及配息),"優質基金標的，提供穩健的投資選擇。"
口袋阿金,衛星配置,98637275,台新北美收益資產證券化基金-B配息(台幣)(本基金配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋阿金,衛星配置,98639936,中國信託亞太實質收息多重資產基金-B分配型(台幣)(基金之配息來源可能為本金且基金並無保證收益及配息),"優質基金標的，提供穩健的投資選擇。"
口袋阿金,ETF,00646,元大S&P500,"精選ETF標的，追蹤指數表現。"
口袋拉拉,核心配置,01032183,PGIM保德信高成長基金-A類型,"優質基金標的，提供穩健的投資選擇。"
口袋拉拉,核心配置,C0109006,PGIM JENNISON全球股票機會基金-T美元累積型,"優質基金標的，提供穩健的投資選擇。"
口袋拉拉,核心配置,98639403,元大台灣卓越50ETF連結基金A不配息(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋拉拉,衛星配置,98642116,中國信託美國聚焦成長基金-A累積型(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋拉拉,衛星配置,01031699,統一全天候基金,"優質基金標的，提供穩健的投資選擇。"
口袋拉拉,衛星配置,98641594,中國信託成長轉機多重資產基金-A累積型(台幣)(本基金有相當比重投資於非投資等級之高風險債券且本基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋拉拉,ETF,009803,保德信市值動能50,"精選ETF標的，追蹤指數表現。"
口袋土狗,核心配置,73990649,PGIM保德信科技島基金,"優質基金標的，提供穩健的投資選擇。"
口袋土狗,核心配置,C0109015,PGIM JENNISON美國成長基金-A美元累積型,"優質基金標的，提供穩健的投資選擇。"
口袋土狗,核心配置,81584335,元大高科技基金,"優質基金標的，提供穩健的投資選擇。"
口袋土狗,衛星配置,98642010,台新美日台半導體基金-A不配息(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋土狗,衛星配置,C0115024,法盛AI及機器人基金R/A USD,"優質基金標的，提供穩健的投資選擇。"
口袋土狗,衛星配置,98638079,統一全球新科技基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋土狗,ETF,0050,元大台灣50,"精選ETF標的，追蹤指數表現。"
口袋濟斯,核心配置,98641176,PGIM保德信全球生態友善ESG多重資產基金-累積型(台幣)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋濟斯,核心配置,98641767,元大臺灣ESG永續ETF連結基金A不配息(本基金之配息來源可能為收益平準金),"優質基金標的，提供穩健的投資選擇。"
口袋濟斯,核心配置,98641425,中國信託ESG金融收益多重資產基金-A累積型(台幣)(本基金有相當比重投資於非投資等級之高風險債券且本基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋濟斯,衛星配置,98640652,台新ESG環保愛地球成長基金-A不配息(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋濟斯,衛星配置,C0115029,法盛全球永續股票基金 R/A NPF USD,"優質基金標的，提供穩健的投資選擇。"
口袋濟斯,衛星配置,98641053,中國信託ESG碳商機多重資產基金-A累積型(台幣)(本基金有相當比重投資於非投資等級之高風險債券且本基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋濟斯,ETF,00850,元大臺灣ESG永續,"精選ETF標的，追蹤指數表現。"
口袋獒,核心配置,98640605,PGIM保德信美元非投資等級債券基金-月配息型(台幣)(本基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋獒,核心配置,C0109011,PGIM美國全方位非投資等級債券基金-T美元月配息型(本基金主要投資於符合美國Rule 144A規定之私募性質債券),"優質基金標的，提供穩健的投資選擇。"
口袋獒,核心配置,98639310,台新優先順位資產抵押非投資等級債券基金-B配息(台幣)(本基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋獒,衛星配置,98639036,PGIM保德信印度機會債券基金-月配息型(台幣)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋獒,衛星配置,98637868,統一亞洲非投資等級債券基金-月配型(台幣)(基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋獒,衛星配置,98641204,台新美國策略時機非投資等級債券基金-B配息(台幣)(本基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋獒,ETF,0056,元大高股息,"精選ETF標的，追蹤指數表現。"
口袋西施,核心配置,73998065,PGIM保德信大中華基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋西施,核心配置,98637127,PGIM保德信中國品牌基金-累積型(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋西施,核心配置,98637551,統一大龍騰中國基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋西施,衛星配置,98637537,PGIM保德信中國中小基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋西施,衛星配置,98637078,統一大中華中小基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋西施,衛星配置,98637071,台新中國精選中小基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋西施,ETF,0061,元大寶滬深,"精選ETF標的，追蹤指數表現。"
口袋邊牧,核心配置,C0054008,法盛漢瑞斯全球股票基金R/A USD,"優質基金標的，提供穩健的投資選擇。"
口袋邊牧,核心配置,92029139,PGIM保德信亞太基金,"優質基金標的，提供穩健的投資選擇。"
口袋邊牧,核心配置,98641172,元大全球優質龍頭平衡基金A不配息(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋邊牧,衛星配置,98640076,中國信託越南機會基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋邊牧,衛星配置,986371051,PGIM保德信拉丁美洲基金,"優質基金標的，提供穩健的投資選擇。"
口袋邊牧,衛星配置,98641587,元大日本龍頭企業基金A不配息(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋邊牧,ETF,009810,保德信全球跨國藍籌100,"精選ETF標的，追蹤指數表現。"
口袋貴賓,核心配置,83866508,PGIM保德信中小型股基金-A類型,"優質基金標的，提供穩健的投資選擇。"
口袋貴賓,核心配置,97988636,PGIM保德信店頭市場基金,"優質基金標的，提供穩健的投資選擇。"
口袋貴賓,核心配置,97977878,統一中小基金,"優質基金標的，提供穩健的投資選擇。"
口袋貴賓,衛星配置,98636611,PGIM保德信全球中小基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋貴賓,衛星配置,17605622,統一大滿貫基金-A類型,"優質基金標的，提供穩健的投資選擇。"
口袋貴賓,衛星配置,C0054121,法盛-盧米斯賽勒斯債券基金R/DG USD(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋貴賓,ETF,006201,元大富櫃50,"精選ETF標的，追蹤指數表現。"
口袋吉娃,核心配置,98638350,PGIM保德信策略成長ETF組合基金(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋吉娃,核心配置,98636726,元大全球ETF穩健組合基金A不配息(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋吉娃,核心配置,98638113,台新全球多元資產組合基金-A不配息(台幣)(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋吉娃,衛星配置,98641041,PGIM保德信全球新供應鏈基金-累積型(台幣),"優質基金標的，提供穩健的投資選擇。"
口袋吉娃,衛星配置,98636878,元大全球地產建設入息基金A不配息(本基金之配息來源可能為本金且並無保證收益及配息),"優質基金標的，提供穩健的投資選擇。"
口袋吉娃,衛星配置,98638435,華南永昌Shiller US CAPE ETF組合基金A不配息(台幣)(本基金之配息來源可能為本金),"優質基金標的，提供穩健的投資選擇。"
口袋吉娃,ETF,00910,第一金太空衛星,"精選ETF標的，追蹤指數表現。"
